timestamp,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,sensors,squawk,spi,position_source
2025-06-01 08:43:52,4aca13,NSZ3539,Sweden,1748767429,1748767429,4.7727,52.3143,,,True,4.63,132.19,,,,False,0
2025-06-01 08:43:52,44008f,AUA45XD,Austria,1748767431,1748767432,4.0976,52.1374,11887.2,12085.32,False,252.89,97.83,0.0,,7302,False,0
2025-06-01 08:43:52,484fde,KLM41H,Kingdom of the Netherlands,1748767431,1748767431,4.7765,52.3138,,,True,5.4,2.81,,,,False,0
2025-06-01 08:43:52,a748bc,DAL73,United States,1748767431,1748767431,4.695,52.2726,541.02,594.36,False,94.26,232.32,3.9,,2140,False,0
2025-06-01 08:43:52,02010d,MAC127J,Morocco,1748767431,1748767431,4.7199,52.3284,,,True,10.29,109.69,,,1000,False,0
2025-06-01 08:43:52,4ac9f9,SAS66A,Sweden,1748767431,1748767432,4.9752,52.2281,7978.14,8168.64,False,205.38,196.89,-6.83,,0744,False,0
2025-06-01 08:43:52,345248,,Spain,1748767372,1748767389,4.7764,52.3123,,,True,7.72,2.81,,,,False,0
2025-06-01 08:43:52,502d5e,BTI8KY,Latvia,1748767431,1748767431,4.6521,52.3325,1889.76,1950.72,False,134.83,29.99,9.75,,1000,False,0
2025-06-01 08:43:52,48520b,TRA35P,Kingdom of the Netherlands,1748767431,1748767431,4.7167,52.33,,,True,12.35,132.19,,,1000,False,0
2025-06-01 08:43:52,48506b,TFL367,Kingdom of the Netherlands,1748767380,1748767380,4.7748,52.3095,,,True,9.77,182.81,,,,False,0
2025-06-01 08:43:52,503e9b,ASL18A,Lithuania,1748767431,1748767431,4.778,52.2938,129.54,175.26,False,77.19,181.53,11.05,,0147,False,0
2025-06-01 08:43:52,4406f0,EJU81CV,Austria,1748767423,1748767428,4.7546,52.3108,,,True,0.0,70.31,,,,False,0
2025-06-01 08:43:52,789215,CPA271,China,1748753296,1748767431,4.7139,52.3554,0.0,137.16,False,70.03,182.53,-0.98,,1000,False,0
2025-06-01 08:43:52,48469c,KV4,Kingdom of the Netherlands,1748767422,1748767422,4.7067,52.3262,,,True,2.83,309.38,,,,False,0
2025-06-01 08:43:52,3cfbb0,IJM55P,Germany,1748767423,1748767423,4.7939,52.3052,,,True,12.35,39.38,,,1000,False,0
2025-06-01 08:43:52,4846c4,,Kingdom of the Netherlands,1748767264,1748767264,4.7443,52.3043,,,True,4.63,25.31,,,,False,0
2025-06-01 08:43:52,4a08ed,ROT361U,Romania,1748767431,1748767431,4.7406,52.3052,,,True,12.35,182.81,,,1000,False,0
2025-06-01 08:43:52,3c644c,DLH6MC,Germany,1748767431,1748767431,4.7413,52.3134,,,True,14.92,182.81,,,1000,False,0
2025-06-01 08:43:52,3c0f22,SLM993,Germany,1748767431,1748767431,4.7751,52.3123,,,True,7.46,168.75,,,,False,0
2025-06-01 08:43:52,485779,KLM69K,Kingdom of the Netherlands,1748767220,1748767220,4.7545,52.2989,,,True,12.86,56.25,,,0752,False,0
2025-06-01 08:43:52,a89234,UAL3029,United States,1748767431,1748767431,4.3835,52.4956,3779.52,3855.72,False,201.94,347.34,5.85,,2132,False,0
2025-06-01 08:43:52,392aeb,AFR1341,France,1748767422,1748767422,4.7786,52.316,,,True,4.63,87.19,,,,False,0
2025-06-01 08:43:52,484561,KLM592,Kingdom of the Netherlands,1748767431,1748767431,4.7109,52.3512,-15.24,45.72,False,74.19,183.18,-0.98,,1000,False,0
2025-06-01 08:43:52,4841c5,MPH8371,Kingdom of the Netherlands,1748767418,1748767426,4.7621,52.2962,,,True,0.9,81.56,,,,False,0
2025-06-01 08:43:52,484263,,Kingdom of the Netherlands,1748767267,1748767267,4.7426,52.3119,,,True,8.23,182.81,,,,False,0
2025-06-01 08:43:52,484368,KLM755,Kingdom of the Netherlands,1748767431,1748767431,4.3304,52.21,2606.04,2689.86,False,131.74,247.74,12.03,,2147,False,0
2025-06-01 08:43:52,484132,KLM44Y,Kingdom of the Netherlands,1748767146,1748767146,4.7544,52.2988,,,True,9.77,59.06,,,7342,False,0
2025-06-01 08:43:52,484131,KLM1930,Kingdom of the Netherlands,1748767431,1748767431,4.5113,52.1926,2133.6,2202.18,False,147.99,6.19,0.0,,1000,False,0
2025-06-01 08:43:52,486741,KLM35B,Kingdom of the Netherlands,1748767422,1748767422,4.7722,52.3085,,,True,0.0,73.12,,,,False,0
2025-06-01 08:43:52,4d010b,CLX315X,Luxembourg,1748767391,1748767391,4.7661,52.2965,,,True,0.51,146.25,,,1000,False,0
2025-06-01 08:43:52,48ad01,LOT266,Poland,1748767428,1748767428,4.7769,52.3159,,,True,0.64,87.19,,,,False,0
2025-06-01 08:43:52,485e30,KLM749,Kingdom of the Netherlands,1748767431,1748767431,4.7179,52.4259,396.24,449.58,False,78.82,182.99,-4.88,,6253,False,0
2025-06-01 08:43:52,40600d,EZY42YG,United Kingdom,1748767430,1748767430,4.7541,52.31,,,True,0.0,149.06,,,,False,0
2025-06-01 08:43:52,a4caba,DAL143,United States,1748767387,1748767387,4.7737,52.3031,,,True,2.57,205.31,,,,False,0
2025-06-01 08:43:52,ab1d30,DAL162,United States,1748767427,1748767428,4.7353,52.3206,,,True,9.77,95.62,,,6256,False,0
2025-06-01 08:44:53,4aca13,NSZ3539,Sweden,1748767487,1748767487,4.7749,52.3105,,,True,8.75,182.81,,,,False,0
2025-06-01 08:44:53,44008f,AUA45XD,Austria,1748767493,1748767493,4.3218,52.118,11887.2,12085.32,False,253.11,98.18,0.0,,7302,False,0
2025-06-01 08:44:53,484fde,KLM41H,Kingdom of the Netherlands,1748767489,1748767489,4.7761,52.3148,,,True,0.45,329.06,,,,False,0
