timestamp,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,sensors,squawk,spi,position_source
2025-06-01 19:31:34,343194,VLG1CJ,Spain,1748806266,1748806266,4.763,52.3045,,,True,0.0,239.06,,,2350,False,0
2025-06-01 19:31:34,407b04,KLM975,United Kingdom,1748806293,1748806293,4.6966,52.2729,731.52,792.48,False,92.29,229.29,9.43,,7344,False,0
2025-06-01 19:31:34,4aca50,NSZ1LY,Sweden,1748806292,1748806293,4.891,52.3914,10972.8,11079.48,False,198.99,201.86,0.0,,0743,False,0
2025-06-01 19:31:34,02019d,MAC126,Morocco,1748806258,1748806258,4.7748,52.3094,,,True,8.75,182.81,,,,False,0
2025-06-01 19:31:34,3c6d43,KLM59F,Germany,1748806285,1748806292,4.7764,52.3121,,,True,12.35,2.81,,,,False,0
2025-06-01 19:31:34,484f7e,KLM52L,Kingdom of the Netherlands,1748806293,1748806293,4.7141,52.3857,152.4,198.12,False,68.06,183.9,-3.9,,1000,False,0
2025-06-01 19:31:34,345212,VLG1SX,Spain,1748806291,1748806291,4.7397,52.3204,,,True,9.77,92.81,,,1000,False,0
2025-06-01 19:31:34,486495,KLM1206,Kingdom of the Netherlands,1748806058,1748806058,4.7525,52.2984,,,True,14.4,98.44,,,1140,False,0
2025-06-01 19:31:34,3cf8be,PTN13C,Germany,1748806293,1748806293,4.8304,52.333,152.4,198.12,False,54.01,220.36,-2.6,,1000,False,0
2025-06-01 19:31:34,406e66,EZY73DL,United Kingdom,1748806293,1748806293,4.7414,52.3146,,,True,7.72,182.81,,,6255,False,0
2025-06-01 19:31:34,485779,KLM1715,Kingdom of the Netherlands,1748806292,1748806292,4.7938,52.2491,609.6,678.18,False,111.45,164.74,20.16,,1000,False,0
2025-06-01 19:31:34,484556,KLM48G,Kingdom of the Netherlands,1748806292,1748806292,4.7759,52.3149,,,True,7.46,320.62,,,,False,0
2025-06-01 19:31:34,484203,KV1,Kingdom of the Netherlands,1748806259,1748806259,4.7132,52.3522,,,True,14.92,2.81,,,,False,0
2025-06-01 19:31:34,4842bc,OH33,Kingdom of the Netherlands,1748806030,1748806031,4.7435,52.3116,,,True,6.69,2.81,,,,False,0
2025-06-01 19:31:34,484165,KLM22V,Kingdom of the Netherlands,1748806292,1748806292,4.7794,52.4516,3390.9,3444.24,False,163.74,54.46,18.53,,0156,False,0
2025-06-01 19:31:34,484133,KLM27F,Kingdom of the Netherlands,1748806293,1748806293,4.9837,52.2517,1554.48,1584.96,False,144.31,93.47,16.26,,1000,False,0
2025-06-01 19:31:34,4ca623,RYR822A,Ireland,1748806182,1748806182,4.7536,52.3098,,,True,0.45,149.06,,,7635,False,0
2025-06-01 19:31:34,484b8f,KLM1782,Kingdom of the Netherlands,1748806157,1748806158,4.7734,52.307,,,True,0.9,2.81,,,1000,False,0
2025-06-01 19:31:34,484b30,KLM30B,Kingdom of the Netherlands,1748806272,1748806287,4.7525,52.2983,,,True,8.75,101.25,,,6256,False,0
2025-06-01 19:31:34,71ba07,KAL926,Republic of Korea,1748806284,1748806289,4.7594,52.3131,,,True,3.09,177.19,,,,False,0
2025-06-01 19:31:34,40757f,EZY46PA,United Kingdom,1748806293,1748806293,4.7127,52.3412,,,True,12.35,165.94,,,0513,False,0
2025-06-01 19:31:34,3c6917,KLM67N,Germany,1748806293,1748806293,4.7432,52.3057,,,True,2.06,255.94,,,,False,0
2025-06-01 19:32:38,343194,VLG1CJ,Spain,1748806309,1748806313,4.7629,52.3044,,,True,0.0,239.06,,,2350,False,0
