timestamp,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,sensors,squawk,spi,position_source
2025-06-01 10:28:59,4cc27f,ICE500,Iceland,1748773738,1748773738,4.7198,52.3297,,,True,10.8,132.19,,,6251,False,0
2025-06-01 10:28:59,c058bf,ACA809,Canada,1748773718,1748773718,4.7707,52.3127,,,True,2.57,30.94,,,,False,0
2025-06-01 10:28:59,738057,ELY338,Israel,1748773736,1748773736,4.7661,52.3147,,,True,7.72,87.19,,,,False,0
2025-06-01 10:28:59,4ac9f4,SAS88K,Sweden,1748773739,1748773739,4.8469,52.0837,11277.6,11483.34,False,261.82,35.56,0.0,,5635,False,0
2025-06-01 10:28:59,8963a3,UAE9906,United Arab Emirates,1748773541,1748773541,4.7501,52.2974,,,True,4.89,239.06,,,1000,False,0
2025-06-01 10:28:59,484bd1,KLM1830,Kingdom of the Netherlands,1748773739,1748773739,4.7441,52.3014,,,True,12.86,135.0,,,4102,False,0
2025-06-01 10:28:59,484cba,KLM226,Kingdom of the Netherlands,1748773738,1748773738,4.7122,52.334,,,True,10.8,182.81,,,6253,False,0
2025-06-01 10:28:59,484cbb,KLM744,Kingdom of the Netherlands,1748773738,1748773738,4.7115,52.3589,-7.62,60.96,False,76.76,183.07,-2.28,,6311,False,0
2025-06-01 10:28:59,48520b,TRA63Z,Kingdom of the Netherlands,1748773697,1748773697,4.7771,52.3159,,,True,0.0,87.19,,,,False,0
2025-06-01 10:28:59,ab44af,DAL144,United States,1748773701,1748773730,4.7615,52.3154,,,True,0.0,87.19,,,6326,False,0
2025-06-01 10:28:59,4cc564,FPY31H,Iceland,1748773701,1748773701,4.7548,52.311,,,True,0.0,59.06,,,,False,0
2025-06-01 10:28:59,48469c,KV4,Kingdom of the Netherlands,1748773738,1748773738,4.7125,52.3289,,,True,10.8,39.38,,,,False,0
2025-06-01 10:28:59,3c5430,BCS5GU,Germany,1748773701,1748773701,4.7759,52.3071,,,True,7.2,2.81,,,,False,0
2025-06-01 10:28:59,484604,PHLCN,Kingdom of the Netherlands,1748773738,1748773738,4.4282,52.1543,342.9,358.14,False,46.71,286.64,-0.65,,7000,False,0
2025-06-01 10:28:59,a0a545,UAL908,United States,1748773739,1748773739,4.6139,52.236,944.88,998.22,False,127.77,253.39,15.61,,2136,False,0
2025-06-01 10:28:59,485779,,Kingdom of the Netherlands,1748773635,1748773635,4.7737,52.3031,,,True,2.83,236.25,,,,False,0
2025-06-01 10:28:59,485871,KLM73J,Kingdom of the Netherlands,1748773739,1748773739,4.79,52.4718,3497.58,3589.02,False,165.94,34.13,13.66,,3132,False,0
2025-06-01 10:28:59,485876,KLM55Z,Kingdom of the Netherlands,1748773739,1748773739,4.8422,52.255,883.92,952.5,False,120.9,89.76,17.23,,1000,False,0
2025-06-01 10:28:59,484203,,Kingdom of the Netherlands,1748773738,1748773738,4.7099,52.3257,,,True,6.69,264.38,,,,False,0
2025-06-01 10:28:59,48414e,TRA31K,Kingdom of the Netherlands,1748773738,1748773738,4.7778,52.294,45.72,38.1,False,85.99,182.4,14.31,,,False,0
2025-06-01 10:28:59,4ca61d,RYR19WN,Ireland,1748773739,1748773739,4.3341,52.1605,11178.54,11513.82,False,185.81,255.08,-5.53,,3560,False,0
2025-06-01 10:28:59,484b31,KLM1921,Kingdom of the Netherlands,1748773739,1748773739,4.8935,52.1623,2095.5,2179.32,False,148.57,120.83,19.51,,1000,False,0
2025-06-01 10:28:59,347601,VLG9VU,Spain,1748773730,1748773730,4.7499,52.2995,,,True,10.8,118.12,,,1000,False,0
2025-06-01 10:28:59,4cae31,EIN60T,Ireland,1748773720,1748773720,4.7549,52.298,,,True,8.75,59.06,,,6353,False,0
2025-06-01 10:28:59,485a34,KLM1044,Kingdom of the Netherlands,1748773739,1748773739,4.7178,52.4276,396.24,457.2,False,80.87,182.92,-4.23,,2020,False,0
2025-06-01 10:29:56,4cc27f,ICE500,Iceland,1748773795,1748773795,4.7274,52.3253,,,True,13.38,140.62,,,6251,False,0
2025-06-01 10:29:56,c058bf,ACA809,Canada,1748773792,1748773794,4.7734,52.3129,,,True,0.0,92.81,,,,False,0
2025-06-01 10:29:56,738057,ELY338,Israel,1748773795,1748773795,4.7727,52.3142,,,True,7.46,132.19,,,,False,0
2025-06-01 10:29:56,4ac9f4,SAS88K,Sweden,1748773795,1748773796,4.9731,52.1916,11277.6,11475.72,False,261.7,35.72,0.0,,3021,False,0
2025-06-01 10:29:56,8963a3,UAE9906,United Arab Emirates,1748773541,1748773541,4.7501,52.2974,,,True,4.89,239.06,,,1000,False,0
2025-06-01 10:29:56,484bd1,KLM1830,Kingdom of the Netherlands,1748773793,1748773793,4.7528,52.2982,,,True,9.77,92.81,,,4102,False,0
2025-06-01 10:29:56,484cba,KLM226,Kingdom of the Netherlands,1748773795,1748773795,4.7168,52.33,,,True,12.86,132.19,,,6253,False,0
2025-06-01 10:29:56,484cbb,KLM744,Kingdom of the Netherlands,1748773795,1748773795,4.7108,52.3377,,,True,14.4,154.69,,,6311,False,0
2025-06-01 10:29:56,48520b,TRA63Z,Kingdom of the Netherlands,1748773795,1748773795,4.7796,52.3157,,,True,2.83,182.81,,,,False,0
2025-06-01 10:29:56,ab44af,DAL144,United States,1748773701,1748773730,4.7615,52.3154,,,True,0.0,87.19,,,6326,False,0
2025-06-01 10:29:56,4cc564,FPY31H,Iceland,1748773785,1748773786,4.7547,52.3115,,,True,1.8,343.12,,,,False,0
2025-06-01 10:29:56,48469c,KV4,Kingdom of the Netherlands,1748773756,1748773756,4.7142,52.3301,,,True,6.94,47.81,,,,False,0
2025-06-01 10:29:56,3c5430,BCS5GU,Germany,1748773791,1748773791,4.776,52.3149,,,True,7.72,326.25,,,,False,0
2025-06-01 10:29:56,484604,PHLCN,Kingdom of the Netherlands,1748773795,1748773795,4.3915,52.1611,304.8,373.38,False,46.43,282.8,-0.98,,7000,False,0
2025-06-01 10:29:56,a0a545,UAL908,United States,1748773795,1748773796,4.5218,52.2557,1798.32,1836.42,False,139.23,329.83,13.0,,2136,False,0
2025-06-01 10:29:56,485779,KLM25C,Kingdom of the Netherlands,1748773796,1748773796,4.7223,52.2834,335.28,396.24,False,80.65,238.03,5.53,,0163,False,0
2025-06-01 10:29:56,485876,KLM55Z,Kingdom of the Netherlands,1748773796,1748773796,4.9518,52.2531,1760.22,1836.42,False,134.93,92.62,19.18,,1000,False,0
